ID,Name,Type,Layer,Performance
1,Clearwater,System,Service,0
2,Registration,Service,Service,0
3,Dialog Initiation,Service,Service,0
4,In Dialog Request,Service,Service,0
5,Dialog Termination,Service,Service,0
6,Out of Dialog Request,Service,Service,0
7,P-CSCF,Component,Service,0
8,Sprout,Component,Service,0
9,Homestead,Component,Service,0
10,HSS,Component,Service,0
11,AS,Component,Service,0
12,ENUM,Component,Service,0
13,Bono Container,Container,Platform,0
14,Sprout Container,Container,Platform,0
15,Homestead Container,Container,Platform,0
16,Ralf Container,Container,Platform,0
17,Node 23,VM,Infrastructure,Architecture: AMD64#Kernal Version: 4.4.0-87 generic#OS: Ubuntu 16.04.1 LTS#Kubelet Version: v1.8.3-rancher 3
18,Node 32,VM,Infrastructure,Architecture: AMD64#Kernal Version: 4.4.0-87 generic#OS: Ubuntu 16.04.1 LTS#Kubelet Version: v1.8.3-rancher 3
19,Node 30,VM,Infrastructure,Architecture: AMD64#Kernal Version: 4.4.0-87 generic#OS: Ubuntu 16.04.1 LTS#Kubelet Version: v1.8.3-rancher 3
20,Node 31,VM,Infrastructure,Architecture: AMD64#Kernal Version: 4.4.0-87 generic#OS: Ubuntu 16.04.1 LTS#Kubelet Version: v1.8.3-rancher 3
57,Vellum,Component,Service,0
58,Vellum Container,Container,Platform,0
